the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
,,336243,2017.0,201706034529,0411,2017-08-12,23:20:00,B,M,19,back,N,N,N,10th / Ogden Sts,0,,,06,0,1,0,,
0101000020E61000008CC6D26E91CF52C08DC1BB4327F94340,0101000020110F0000F633781CBAF35FC1B35F481A4F885241,336244,2017.0,201718056298,0411,2017-08-13,11:39:00,B,M,39,neck,N,N,N,5900 BLOCK Cobbs Creek Parkway,0,-75.24325152,39.94651076,18,0,1,0,39.94651076,-75.24325152
0101000020E61000008D3F172EA7CE52C0FD8261E911F84340,0101000020110F00005CF38A352CF25FC12645A4DD1B875241,334969,2016.0,201612067148,0411,2016-09-26,21:19:00,B,M,24,leg,N,N,N,5700 BLOCK Belmar St,0,-75.22895386,39.93804662,12,0,1,0,39.93804662,-75.22895386
0101000020E61000008D3F172EA7CE52C0FD8261E911F84340,0101000020110F00005CF38A352CF25FC12645A4DD1B875241,334970,2016.0,201612067160,0411,2016-09-26,21:19:00,B,M,18,leg,N,N,N,5700 BLOCK Belmar St,0,-75.22895386,39.93804662,12,0,1,0,39.93804662,-75.22895386
0101000020E6100000A97812C7F0CA52C01E15FF7744064440,0101000020110F0000AEE1E1DADDEB5FC1F9201C0ED9965241,334971,2016.0,201614077971,0411,2016-09-26,21:50:00,B,M,21,leg,N,N,N,500 BLOCK E Herman St,0,-75.1709459,40.0489645,14,0,1,0,40.0489645,-75.1709459
0101000020E6100000D83C9A2CA6C352C0723D237444024440,0101000020110F00007F33C63D7BDF5FC178C33F3169925241,334972,2016.0,201615093780,0411,2016-09-26,19:30:00,W,M,22,foot,N,N,N,4700 BLOCK Benner St,1,-75.05701747,40.01771404,15,0,1,0,40.01771404,-75.05701747
,,334973,2016.0,201622079285,0411,2016-09-27,14:30:00,B,M,22,abdomen,N,N,N,26th & York St,0,,,22,0,1,0,,
,,334974,2016.0,201622079288,0411,2016-09-27,14:30:00,B,F,27,thigh,N,N,N,26th & York St,0,,,22,0,1,0,,
0101000020E61000006816D3124CCE52C0CC4663C4F0FB4340,0101000020110F000075C8A07491F15FC17B4F5EA8658B5241,334975,2016.0,201616041020,0411,2016-09-28,20:30:00,B,M,21,stomach,N,N,N,5100 BLOCK Westminster Ave,0,-75.22339316,39.96828513,16,0,1,0,39.96828513,-75.22339316
0101000020E61000006A84C0C270C752C02D82B520CAFF4340,0101000020110F0000768E53E1EBE55FC10CA6E7D7A98F5241,334976,2016.0,201625081919,0411,2016-09-28,16:34:00,W,M,19,chest,N,N,N,700 BLOCK E Westmorland St,0,-75.11625737,39.99835595,25,0,1,0,39.99835595,-75.11625737
0101000020E6100000C49592699DCE52C01C36FC340FFC4340,0101000020110F0000DE34299E1BF25FC1FEB5EF63878B5241,334977,2016.0,201619089030,0411,2016-09-29,14:25:00,B,M,23,back,N,N,N,5300 BLOCK Wyalusing Ave,0,-75.22835769,39.96921408,19,0,1,0,39.96921408,-75.22835769
0101000020E6100000D8C1B96D3CCE52C08DE45DBB55F84340,0101000020110F0000268190E176F15FC165276EFD66875241,334978,2016.0,201612068063,0411,2016-10-01,02:52:00,B,M,33,multi,N,N,N,5300 BLOCK Chester Ave,0,-75.22243827,39.94011633,12,0,1,0,39.94011633,-75.22243827
,,334979,2016.0,201625082376,0411,2016-09-30,09:25:00,W,M,21,leg,N,N,N,3300 BLOCK N5th St,1,,,25,0,1,0,,
0101000020E6100000E1EF937AC1C752C08B3F40ADD8FF4340,0101000020110F0000DFFAE9FC74E65FC1599127F9B98F5241,334980,2016.0,201625082943,0411,2016-10-02,01:48:00,W,F,19,leg,N,N,N,"3200 BLOCK ""D"" St",1,-75.12118401,39.99879995,25,1,0,0,39.99879995,-75.12118401
0101000020E61000002ED9C23D20C352C0CFC2F92FEB024440,0101000020110F0000E4B91FBE97DE5FC1FA4C221A22935241,334981,2016.0,201615095441,0411,2016-10-01,15:40:00,W,M,18,hip,N,N,N,6500 BLOCK Toresdale Ave,0,-75.04884285,40.02280235,15,0,1,0,40.02280235,-75.04884285
