DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,9XX CHATEAU AV,39.1072626265724,-84.5602730049513,EAST PRICE HILL,EAST PRICE HILL,4028,179032379,1,,BLACK,MALE,19,NONFATAL,08/14/2017 12:00:00 AM,AUG,041500,4,MON,179032379,08/14/2017 04:15:00 AM,DISTRICT 3,,EAST PRICE HILL
3,33XX SAFFER ST,39.1456483780732,-84.5702819352886,EAST WESTWOOD,EAST WESTWOOD,981,31004816,2,,BLACK,MALE,20,NONFATAL,05/26/2010 12:00:00 AM,MAY,,N/A,WED,31004816,05/26/2010 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
5,47XX ESTE AV,39.1768395039241,-84.5087755521689,WINTON HILLS,WINTON HILLS,1585,51105482,1,"TAYLOR MILL, KY",WHITE,MALE,26,NONFATAL,09/28/2011 12:00:00 AM,SEP,172500,17,WED,51105482,09/28/2011 05:25:00 PM,DISTRICT 5,45232,WINTON HILLS
3,26XX BEEKMAN ST,39.1320105406995,-84.5462066714083,NORTH FAIRMOUNT,NORTH FAIRMOUNT,4453,189028645,1,,BLACK,FEMALE,25,NONFATAL,10/26/2018 12:00:00 AM,OCT,042000,4,FRI,189028645,10/26/2018 04:20:00 AM,DISTRICT 3,,NORTH FAIRMOUNT
1,16XX LOCKHURST LN,39.1150741476606,-84.5302763187033,WEST END,WEST END,3274,159029546,2,"CINCINNATI, OH 45202",BLACK,MALE,22,FATAL,10/28/2015 12:00:00 AM,OCT,212700,21,WED,159029546,10/28/2015 09:27:00 PM,DISTRICT 1,,WEST END
5,42XX BROOKSIDE AV,39.1641021734858,-84.5394680773216,NORTHSIDE,NORTHSIDE,3386,169004369,1,"CINCINNATI, OH 45214",BLACK,MALE,37,NONFATAL,02/24/2016 12:00:00 AM,FEB,233000,23,WED,169004369,02/24/2016 11:30:00 PM,DISTRICT 5,,NORTHSIDE
3,33XX BEEKMAN ST,39.1463660263693,-84.5505121914756,MILLVALE,SOUTH CUMMINSVILLE,387,30811870,1,,WHITE,MALE,43,NONFATAL,11/26/2008 12:00:00 AM,NOV,,N/A,WED,30811870,11/26/2008 12:00:00 AM,DISTRICT 3,45225,MILLVALE
2,42XX EASTERN AV,39.109231478307,-84.4264255676043,COLUMBIA TUSCULUM,LINWOOD,3337,159034301,2,"CINCINNATI, OH 45226",WHITE,MALE,26,NONFATAL,12/23/2015 12:00:00 AM,DEC,133800,13,WED,159034301,12/23/2015 01:38:00 PM,DISTRICT 2,,EAST END
5,8XX DUTCH COLONY DR,39.1911865516907,-84.5199076934778,WINTON HILLS,WINTON HILLS,4346,189017935,1,,BLACK,MALE,27,NONFATAL,07/05/2018 12:00:00 AM,JUL,013000,1,THU,189017935,07/05/2018 01:30:00 AM,DISTRICT 5,,WINTON HILLS
1,1XX W LIBERTY ST,39.1128118879571,-84.5180646518893,OVER-THE-RHINE,OVER-THE-RHINE,2211,139012753,3,"CINC, OH 45202",BLACK,MALE,28,NONFATAL,05/23/2013 12:00:00 AM,MAY,123700,12,THU,139012753,05/23/2013 12:37:00 PM,DISTRICT 1,45202,OTR
3,44XX GLENWAY AV,39.113583489729,-84.5863176718855,WEST PRICE HILL,WEST PRICE HILL,5061,209012083,3,,BLACK,MALE,19,NONFATAL,06/09/2020 12:00:00 AM,JUN,205300,20,TUE,209012083,06/09/2020 08:53:00 PM,DISTRICT 3,,WEST PRICE HILL
1,X BACK ST,39.1140727922723,-84.5147670878967,OVER-THE-RHINE,OVER-THE-RHINE,1966,129027420,1,"CINTI, OH 45232",BLACK,MALE,27,NONFATAL,09/21/2012 12:00:00 AM,SEP,230600,23,FRI,129027420,09/21/2012 11:06:00 PM,DISTRICT 1,45202,OTR
3,36XX W LIBERTY ST,39.1163026619842,-84.5716895791678,EAST PRICE HILL,EAST PRICE HILL,2725,149020704,1,"CINTI, OH 45205",WHITE,MALE,29,NONFATAL,08/20/2014 12:00:00 AM,AUG,220000,22,WED,149020704,08/20/2014 10:00:00 PM,DISTRICT 3,45205,EAST PRICE HILL
3,21XX QUEEN CITY AV,39.1287308252115,-84.5705207359402,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,4935,209006297,2,,BLACK,MALE,36,NONFATAL,03/23/2020 12:00:00 AM,MAR,202000,20,MON,209006297,03/23/2020 08:20:00 PM,DISTRICT 3,,SOUTH FAIRMOUNT - WESTWOOD
